hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
Fracture Of Tibial Spine Orthopaedic Clinic,Private,Neuro / Spine,,0.0,0.0,"295, 10Th Main, 22Nd Cross, Sri Krishna Complex, 3Rd Block Jayanagar",Karnataka,Bengaluru Urban,12.9329463,77.5838692
Garden City Hospital,Private,Multispecialty / General,,0.0,0.0,"132/18, 22Nd Cross 3Rd Block Jayanagar",Karnataka,Bengaluru Urban,12.933219,77.5815604
Lalbagh Ivf Centre,Private,Women & Child,,0.0,0.0,"#356/1, 1St Cross, 1St Block, Jayanagar, Near Ashoka Pillar",Karnataka,Bengaluru Urban,12.9454597,77.5863846
Mahabodhi Mallige Hospital,Private,Multispecialty / General,,0.0,0.0,"T. Mariapp Road , Ist Block, Jayanagar",Karnataka,Bengaluru Urban,12.9401097,77.5851331
Maiya Multispecialty Hospital,Private,Multispecialty / General,,0.0,0.0,"34, 10Th Main 1St Block, Jayanagar",Karnataka,Bengaluru Urban,12.9396233,77.5866713
Manasa Medical Centre (P) Ltd,Private,Multispecialty / General,,0.0,0.0,"125, 10Th Main, 1St Block, Jayanagar",Karnataka,Bengaluru Urban,12.939789,77.58545
N.R.Amar Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No.276Th A Cross, 1St Mainroad, Someshwar Nagar 1St Block,Jayanagar",Karnataka,Bengaluru Urban,12.9313475,77.5932269
Prabha Eye Clinic and Research Center,Private,Eye / Ophthalmology,,0.0,0.0,"604 40Th Cross 8Th Block , Jayanagar",Karnataka,Bengaluru Urban,12.9200121,77.5748334
Ragavs Diagnostic and Research Centre Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,Sadguru Complex No 14 27Th Cross 4Th Block West Jayanagar,Karnataka,Bengaluru Urban,12.9250074,77.5938028
"Rajlakshmi Polyclinic and Nursing Home,",Private,Multispecialty / General,,0.0,0.0,"726 46Th Cross 8Th Block , Jayanagar",Karnataka,Bengaluru Urban,12.916439,77.5824518
Ramkrishna Nursing Home,Private,Multispecialty / General,,0.0,0.0,"806/1, 15Th Cross 3Rd Block Jayanagar",Karnataka,Bengaluru Urban,12.9227076,77.5749764
Shanthi Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No.679, 11Th Main Rd, 36Th Cross 4Th Block Jayanagar",Karnataka,Bengaluru Urban,12.9230149,77.5867675
